feature,dtype,nan_pct
日前电价,float64,0.0006127450980392157
实时电价,float64,0.0008425245098039216
地方电厂总加预测值,int64,0.0
联络线受电负荷预测值,float64,0.0
风电总加预测值,float64,0.0
光伏总加预测值,float64,0.0
核电总加预测值,float64,0.0
自备机组总加预测值,float64,0.0
试验机组总加预测值,int64,0.0
直调负荷预测值,float64,0.0
竞价空间预测值,float64,0.0
新能源总加预测值,float64,0.0
地方电厂总加实际值,float64,0.0012254901960784314
联络线受电负荷实际值,float64,0.0012254901960784314
风电总加实际值,float64,0.0012254901960784314
光伏总加实际值,float64,0.0012254901960784314
核电总加实际值,float64,0.0012254901960784314
自备机组总加实际值,float64,0.0012254901960784314
试验机组总加实际值,float64,0.0012254901960784314
直调负荷实际值,float64,0.0012254901960784314
竞价空间实际值,float64,0.0012254901960784314
新能源总加实际值,float64,0.0012254901960784314
hour_business,int32,0.0
day_of_week,int32,0.0
is_weekend,int64,0.0
month,int32,0.0
day_of_month,int32,0.0
hour_sin,float64,0.0
hour_cos,float64,0.0
month_sin,float64,0.0
month_cos,float64,0.0
da_anchor,float64,0.0006127450980392157
da_negative,int64,0.0
da_high,int64,0.0
da_low,int64,0.0
da_pct_rank_7d,float64,0.0
da_pct_rank_30d,float64,0.0
地方电厂_forecast,int64,0.0
联络线受电负荷_forecast,float64,0.0
风电_forecast,float64,0.0
光伏_forecast,float64,0.0
核电_forecast,float64,0.0
自备机组_forecast,float64,0.0
试验机组_forecast,int64,0.0
直调负荷_forecast,float64,0.0
竞价空间_forecast,float64,0.0
新能源_forecast,float64,0.0
rt_lag_24h,float64,0.0008425245098039216
rt_lag_48h,float64,0.0012254901960784314
rt_lag_72h,float64,0.001838235294117647
rt_lag_168h,float64,0.00428921568627451
rt_roll_mean_24h,float64,0.0006127450980392157
rt_roll_std_24h,float64,0.0006382761437908497
rt_roll_mean_48h,float64,0.0006127450980392157
rt_roll_std_48h,float64,0.0006382761437908497
rt_roll_mean_168h,float64,0.0006127450980392157
rt_roll_std_168h,float64,0.0006382761437908497
da_lag_24h,float64,0.0006127450980392157
da_lag_48h,float64,0.0012254901960784314
da_lag_72h,float64,0.001838235294117647
da_lag_168h,float64,0.00428921568627451
da_roll_mean_24h,float64,0.0006127450980392157
da_roll_std_24h,float64,0.0006382761437908497
da_roll_mean_48h,float64,0.0006127450980392157
da_roll_std_48h,float64,0.0006382761437908497
da_roll_mean_168h,float64,0.0006127450980392157
da_roll_std_168h,float64,0.0006382761437908497
da_x_地方电厂,float64,0.0006127450980392157
da_x_联络线受电负荷,float64,0.0006127450980392157
da_x_风电,float64,0.0006127450980392157
da_x_光伏,float64,0.0006127450980392157
da_x_核电,float64,0.0006127450980392157
da_x_自备机组,float64,0.0006127450980392157
da_x_试验机组,float64,0.0006127450980392157
da_x_直调负荷,float64,0.0006127450980392157
da_x_竞价空间,float64,0.0006127450980392157
da_x_新能源,float64,0.0006127450980392157
hours_since_negative_da,float64,0.0
